GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
millete,com.puntomartinez.millete.groupgoals.domain.model,GoalContribution,10,170,2,18,2,59,2,29,0,21
millete,com.puntomartinez.millete.groupgoals.domain.model,GoalUnit,10,176,2,24,2,62,2,29,0,18
millete,com.puntomartinez.millete.users.infrastructure.in.controller.advice,UserExceptionHandler,36,0,0,0,12,0,3,0,3,0
millete,com.puntomartinez.millete.transactions.application.services,TransactionPeriodService,6,163,1,7,1,44,1,8,0,3
millete,com.puntomartinez.millete.transactions.application.services,TransactionMetricsService,0,145,0,8,0,40,0,7,0,3
millete,com.puntomartinez.millete.transactions.application.services,TransactionService,11,197,0,8,1,68,1,16,1,12
millete,com.puntomartinez.millete.groupgoals.infrastructure.in.controller,GroupGoalController,316,283,16,0,111,94,23,14,15,14
millete,com.puntomartinez.millete.groupgoals.infrastructure.out.persistence.postgresql.mappers,GoalInvitationEntityMapper,2,38,2,4,1,15,2,4,0,3
millete,com.puntomartinez.millete.groupgoals.infrastructure.out.persistence.postgresql.mappers,GoalMemberEntityMapper,0,23,0,0,0,11,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.out.persistence.postgresql.mappers,GoalContributionEntityMapperImpl,2,49,1,1,1,13,1,2,0,2
millete,com.puntomartinez.millete.groupgoals.infrastructure.out.persistence.postgresql.mappers,GoalMemberEntityMapperImpl,2,64,2,2,1,15,2,2,0,2
millete,com.puntomartinez.millete.groupgoals.infrastructure.out.persistence.postgresql.mappers,GoalContributionEntityMapper,2,38,2,4,0,14,2,4,0,3
millete,com.puntomartinez.millete.groupgoals.infrastructure.out.persistence.postgresql.mappers,GoalUnitEntityMapperImpl,2,49,2,2,1,12,2,2,0,2
millete,com.puntomartinez.millete.groupgoals.infrastructure.out.persistence.postgresql.mappers,GoalInvitationEntityMapperImpl,2,49,1,1,1,13,1,2,0,2
millete,com.puntomartinez.millete.groupgoals.infrastructure.out.persistence.postgresql.mappers,GoalUnitEntityMapper,0,17,0,0,0,8,0,1,0,1
millete,com.puntomartinez.millete.notifications.domain.ports.in,CreateNotificationUseCase.CreateNotificationCommand,0,24,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.shared.infrastructure.in.controller.dto,PaginatedResponseDTO,0,24,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.shared.infrastructure.in.controller.dto,ErrorResponseDTO,0,18,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.shared.infrastructure.in.controller.dto,JwtUser,0,21,0,0,0,8,0,4,0,4
millete,com.puntomartinez.millete.shared.infrastructure.config,JacksonConfig,19,0,0,0,5,0,2,0,2,0
millete,com.puntomartinez.millete.shared.infrastructure.config,SecurityConfig,171,0,0,0,26,0,8,0,8,0
millete,com.puntomartinez.millete.shared.infrastructure.config,CookieAuthFactory,0,107,1,7,0,33,1,8,0,5
